Chỉ tiêu ;Mã chỉ tiêu
1. Doanh thu bán hàng và cung cấp dịch vụ;<ct01>
2. Các khoản giảm trừ doanh thu;<ct02>
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02);<ct10>
4. Giá vốn hàng bán;<ct11>
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11);<ct20>
6. Doanh thu hoạt động tài chính;<ct21>
7. Chi phí tài chính;<ct22>
 Trong đó: Chi phí lãi vay;<ct23>
8. Chi phí bán hàng;<ct25>
9. Chi phí quản lý doanh nghiệp;<ct26>
10 Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)};<ct30>
11. Thu nhập khác;<ct31>
12. Chi phí khác;<ct32>
13. Lợi nhuận khác (40 = 31 - 32);<ct40>
14. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40);<ct50>
15. Chi phí thuế TNDN hiện hành;<ct51>
16. Chi phí thuế TNDN hoãn lại;<ct52>
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50 - 51 - 52);<ct60>
18. Lãi cơ bản trên cổ phiếu;<ct70>
19. Lãi suy giảm trên cổ phiếu;<ct71>
